state,date,month,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr,year,month_num,quarter,season,climate_stress,agri_stress,econ_stress,temp_anomaly_deg_norm,rainfall_anomaly_pct_norm,drought_severity_norm,heatwave_days_norm,crop_failure_rate_pct_norm,irrigation_coverage_pct_norm,unemployment_rate_pct_norm,inflation_rate_pct_norm,poverty_rate_pct_norm,climate_risk,agriculture_risk,economic_risk,composite_risk_score,risk_category
Andhra Pradesh,2024-01-01,2024-01,23.7,240.1,-3.34,161.9,0,0,8622.0,49.4,2.7,135.0,5468.0,300000.0,6.61,5.88,8.3,60000000.0,2024,1,1,Winter,11.435,7.760000000000001,12.49,3.5152941176470587,4.446519524617997,0.0,0.0,0.7803468208092486,6.246719160104988,5.369532428355958,5.454545454545453,3.868613138686132,2.212779386797164,2.4202585225979703,4.869714584828367,2.9496308838352467,Low
Andhra Pradesh,2024-01-31,2024-01,25.8,364.9,-1.2,298.0,0,0,15052.0,49.4,7.2,89.5,5245.0,301460.0,6.07,5.77,9.8,60292053.0,2024,1,1,Winter,16.1,12.260000000000002,11.84,4.522352941176471,6.7572156196943975,0.0,0.0,2.0809248554913293,6.246719160104988,4.555052790346908,5.184275184275183,4.963503649635037,3.1577529212024364,3.330663146875427,4.886777309276235,3.6505275972064326,Moderate
Andhra Pradesh,2024-03-01,2024-03,26.5,85.2,-0.47,-7.0,0,0,9067.0,53.8,7.1,92.5,5355.0,302928.0,5.49,6.26,6.0,60585528.0,2024,3,1,Summer,0.82,11.72,11.75,4.865882352941177,1.5789473684210527,0.0,0.0,2.052023121387283,5.669291338582678,3.680241327300152,6.388206388206388,2.18978102189781,1.69015479876161,3.137203586545901,3.970969738681203,2.76682560946601,Low
Andhra Pradesh,2024-03-31,2024-03,32.7,0.0,5.66,-100.0,0,10,13066.0,60.8,3.9,78.4,5308.0,304402.0,6.56,6.61,12.1,60880431.0,2024,3,1,Summer,10.66,7.82,13.17,7.750588235294117,0.0,10.0,0.0,1.1271676300578033,4.750656167979003,5.2941176470588225,7.24815724815725,6.642335766423358,4.937647058823529,2.2142141914341633,6.352205869165937,4.338085257822853,Moderate
Andhra Pradesh,2024-04-30,2024-04,30.4,0.0,3.39,-100.0,0,10,5593.0,56.6,24.1,75.0,5462.0,305884.0,5.73,6.15,6.8,61176769.0,2024,4,2,Summer,8.39,28.44,11.88,6.68235294117647,0.0,10.0,0.0,6.965317919075144,5.301837270341207,4.042232277526397,6.117936117936118,2.7737226277372264,4.670588235294117,6.466273724454962,4.220965052223104,5.1866723607326595,High
Andhra Pradesh,2024-05-30,2024-05,31.1,78.9,4.07,-14.0,0,0,14445.0,60.2,3.4,85.9,4296.0,307373.0,6.62,6.25,7.9,61474550.0,2024,5,2,Summer,4.7700000000000005,7.379999999999999,12.87,7.00235294117647,1.4601018675721562,0.0,0.0,0.9826589595375721,4.829396325459317,5.384615384615385,6.363636363636363,3.5766423357664237,2.1886187955657643,2.1366801693140953,5.045531111224541,2.884668355292374,Low
Andhra Pradesh,2024-06-29,2024-06,31.8,106.7,4.81,16.4,0,0,10330.0,48.6,6.8,135.1,3959.0,308869.0,6.08,5.95,11.2,61773781.0,2024,6,2,Monsoon,5.63,11.94,12.03,7.350588235294117,1.9762308998302207,0.0,0.0,1.9653179190751442,6.351706036745407,4.570135746606335,5.626535626535627,5.985401459854014,2.4305163287725953,3.281234354376223,5.3823987102218105,3.4662382330961687,Moderate
Andhra Pradesh,2024-07-29,2024-07,26.1,208.2,-0.95,127.1,0,0,20089.0,54.5,5.6,89.1,5200.0,310372.0,6.72,5.19,6.3,62074468.0,2024,7,3,Monsoon,7.305,10.15,11.91,4.64,3.8556876061120544,0.0,0.0,1.6184971098265892,5.57742782152231,5.535444947209653,3.7592137592137593,2.408759124087591,2.316706281833616,2.806176323335305,3.908235552718163,2.885903114080344,Low
Andhra Pradesh,2024-08-28,2024-08,25.0,100.3,-2.03,9.4,0,0,14887.0,55.6,8.3,103.0,4818.0,311883.0,5.79,5.01,7.1,62376618.0,2024,8,3,Monsoon,2.5,12.74,10.8,4.131764705882353,1.8573853989813243,0.0,0.0,2.398843930635838,5.433070866141732,4.132730015082956,3.3169533169533167,2.9927007299270074,1.5901567961649854,3.3091120112876062,3.488986755839482,2.6664986113765266,Low
Andhra Pradesh,2024-09-27,2024-09,22.7,0.0,-4.32,-100.0,0,10,14829.0,46.4,25.9,73.0,5372.0,313401.0,5.52,4.9,8.9,62680240.0,2024,9,3,Monsoon,9.32,31.26,10.42,3.054117647058823,0.0,10.0,0.0,7.485549132947976,6.640419947506562,3.7254901960784306,3.0466830466830483,4.306569343065693,3.763529411764706,7.232010377315551,3.7252257527053576,4.967921834942665,Moderate
Andhra Pradesh,2024-10-27,2024-10,25.6,0.0,-1.4,-100.0,0,10,12410.0,55.1,24.4,107.0,4730.0,314927.0,6.02,4.71,8.5,62985339.0,2024,10,4,Post-Monsoon,6.4,28.89,10.73,4.428235294117647,0.0,10.0,0.0,7.052023121387282,5.498687664041995,4.479638009049774,2.579852579852579,4.014598540145986,4.107058823529412,6.586022484183695,3.7469385661742898,4.8846660404196305,Moderate
Andhra Pradesh,2024-11-26,2024-11,22.1,52.5,-4.86,-42.7,0,10,10132.0,50.1,25.6,108.2,4149.0,316460.0,5.54,5.57,11.1,63291923.0,2024,11,4,Post-Monsoon,6.995000000000001,30.590000000000003,11.11,2.8,0.9728353140916808,10.0,0.0,7.398843930635838,6.15485564304462,3.755656108597286,4.692874692874694,5.912408759124087,3.991850594227504,7.025647444358472,4.791685111564888,5.253638121107689,High
Arunachal Pradesh,2024-01-01,2024-01,21.6,258.8,-5.42,182.3,0,0,14470.0,56.3,6.4,119.7,5833.0,300000.0,5.08,5.52,6.0,60000000.0,2024,1,1,Winter,14.535,10.77,10.6,2.5364705882352943,4.792869269949067,0.0,0.0,1.8497109826589595,5.341207349081365,3.0618401206636507,4.570024570024568,2.18978102189781,2.071978428043544,2.897159892585681,3.209074770903882,2.6450660263483763,Low
Arunachal Pradesh,2024-01-31,2024-01,22.2,278.7,-4.8,204.0,0,0,14434.0,48.6,0.0,87.5,5013.0,301460.0,5.67,6.27,6.1,60292053.0,2024,1,1,Winter,15.0,5.14,11.94,2.828235294117647,5.161290322580646,0.0,0.0,0.0,6.351706036745407,3.9517345399698343,6.412776412776411,2.262773722627737,2.2554459203036057,1.905511811023622,4.098910815742073,2.5938352059152283,Low
Arunachal Pradesh,2024-03-01,2024-03,25.8,83.6,-1.2,-8.8,0,0,13242.0,55.9,2.8,84.9,4694.0,302928.0,5.54,6.36,9.4,60585528.0,2024,3,1,Summer,1.64,7.21,11.9,4.522352941176471,1.5483870967741935,0.0,0.0,0.8092485549132946,5.393700787401575,3.755656108597286,6.633906633906635,4.671532846715328,1.5951043643263758,2.184584224659779,4.939688124531405,2.6375682554943243,Low
Arunachal Pradesh,2024-03-31,2024-03,28.3,0.0,1.3,-100.0,0,10,8624.0,48.2,2.2,80.5,5527.0,304402.0,6.03,6.58,9.4,60880431.0,2024,3,1,Summer,6.3,7.38,12.61,5.698823529411765,0.0,10.0,0.0,0.6358381502890174,6.404199475065616,4.494720965309201,7.174447174447176,4.671532846715328,4.424705882352941,2.3663465477219967,5.360522986542738,3.9382343912795594,Moderate
Arunachal Pradesh,2024-04-30,2024-04,31.3,0.0,4.3,-100.0,0,10,4051.0,57.5,32.9,103.7,4571.0,305884.0,5.73,6.58,12.3,61176769.0,2024,4,2,Summer,9.3,37.15,12.31,7.110588235294117,0.0,10.0,0.0,9.508670520231213,5.183727034120735,4.042232277526397,7.174447174447176,6.788321167883213,4.777647058823529,8.21118747439807,5.9430278582275164,6.270731404125615,High
Arunachal Pradesh,2024-05-30,2024-05,33.6,58.1,6.65,-36.6,0,10,17101.0,55.6,23.3,151.2,4952.0,307373.0,6.67,5.91,10.7,61474550.0,2024,5,2,Summer,8.48,27.74,12.58,8.216470588235294,1.0764006791171477,10.0,0.0,6.734104046242774,5.433070866141732,5.460030165912519,5.528255528255528,5.620437956204379,5.377037850793968,6.343794092212462,5.536640501217573,5.755303197896342,High
Arunachal Pradesh,2024-06-29,2024-06,31.7,103.2,4.75,12.6,0,0,18448.0,54.8,2.9,135.4,4687.0,308869.0,6.41,5.46,10.6,61773781.0,2024,6,2,Monsoon,5.38,7.42,11.87,7.3223529411764705,1.9117147707979627,0.0,0.0,0.8381502890173409,5.5380577427821525,5.067873303167421,4.422604422604422,5.547445255474452,2.4041026665335066,2.2481225251467842,5.042142822305982,3.0090196559912723,Moderate
Arunachal Pradesh,2024-07-29,2024-07,26.8,265.2,-0.16,189.3,0,0,20437.0,52.2,7.1,112.6,5486.0,310372.0,6.77,4.96,7.2,62074468.0,2024,7,3,Monsoon,9.625,11.88,11.73,5.011764705882353,4.911714770797963,0.0,0.0,2.052023121387283,5.879265091863517,5.610859728506787,3.194103194103194,3.065693430656934,2.726455607709977,3.200195712530153,3.9950245639382604,3.2094068834541094,Moderate
Arunachal Pradesh,2024-08-28,2024-08,28.5,96.4,1.48,5.1,0,0,16865.0,51.4,0.3,95.0,4963.0,311883.0,6.51,5.02,10.1,62376618.0,2024,8,3,Monsoon,1.735,5.16,11.53,5.783529411764706,1.7843803056027165,0.0,0.0,0.08670520231213871,5.984251968503937,5.2187028657616885,3.34152334152334,5.182481751824817,1.9811964446219914,1.8559692321696781,4.642871618612278,2.6027857137612536,Low
Arunachal Pradesh,2024-09-27,2024-09,24.3,0.0,-2.73,-100.0,0,10,16862.0,48.3,25.5,107.6,5305.0,313401.0,6.17,4.92,6.3,62680240.0,2024,9,3,Monsoon,7.73,30.67,11.09,3.8023529411764705,0.0,10.0,0.0,7.369942196531791,6.391076115485565,4.705882352941176,3.0958230958230963,2.408759124087591,3.9505882352941177,7.076282372217923,3.418871445706997,4.9116519858206695,Moderate
Arunachal Pradesh,2024-10-27,2024-10,19.7,0.0,-7.29,-100.0,0,10,13343.0,59.2,28.2,109.2,4965.0,314927.0,6.52,5.28,8.5,62985339.0,2024,10,4,Post-Monsoon,12.29,32.28,11.8,1.656470588235294,0.0,10.0,0.0,8.15028901734104,4.960629921259843,5.233785822021115,3.9803439803439815,4.014598540145986,3.4141176470588235,7.19339128851668,4.43103772086168,4.991093440019787,Moderate
