state,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr,climate_stress,agri_stress,econ_stress,total_risk,month
Andaman and Nicobar Islands,25.580645161290324,2021.0,1.1509677419354838,-70.89032258064516,0,7.387096774193548,72422.0,50.86774193548387,7.819354838709677,110.30000000000001,4997.225806451613,167044.48387096773,7.133548387096774,5.969032258064516,10.283870967741937,62390.8064516129,9.863870967741935,9.275483870967742,12.256451612903225,31.395806451612906,2025-01
Andaman and Nicobar Islands,26.892857142857142,1947.4,1.0532142857142857,-68.95,0,7.928571428571429,62755.0,50.614285714285714,8.0,106.79285714285713,5110.714285714285,167728.57142857142,7.028214285714285,5.724285714285714,10.346428571428572,61192.92857142857,9.955714285714285,9.636785714285713,12.030357142857143,31.622857142857143,2025-02
Andaman and Nicobar Islands,29.048387096774192,2033.7,1.177741935483871,-70.71290322580644,0,7.483870967741935,197231.0,50.03548387096774,7.706451612903226,108.6548387096774,5000.451612903225,166870.83870967742,7.105806451612903,5.694838709677419,10.451612903225806,60486.1935483871,9.92451612903226,9.321290322580644,12.09451612903226,31.340322580645164,2025-03
Andaman and Nicobar Islands,31.790000000000003,1911.4,1.1676666666666666,-71.54333333333334,0,7.5,193035.0,48.809999999999995,7.66,106.92333333333333,5144.4,167704.86666666667,7.1370000000000005,5.968666666666667,10.503333333333334,57643.066666666666,9.966666666666667,9.373666666666667,12.323666666666666,31.664,2025-04
Andaman and Nicobar Islands,33.774193548387096,2071.5,0.8087096774193548,-70.1516129032258,0,7.483870967741935,202328.0,48.29677419354839,7.980645161290322,109.25483870967743,4978.4838709677415,167538.38709677418,7.131612903225807,5.556451612903226,10.793548387096775,59782.903225806454,9.589354838709676,9.521612903225806,12.118709677419355,31.229677419354836,2025-05
Andaman and Nicobar Islands,34.733333333333334,23478.9,0.6479999999999999,249.48,0,0.0,68596.0,49.24333333333333,4.226666666666667,114.45,4892.933333333333,167474.63333333333,7.144666666666667,5.675333333333333,10.09,60301.03333333333,14.679666666666666,4.231333333333334,12.001333333333333,30.912333333333336,2025-06
Andaman and Nicobar Islands,34.12580645161291,23529.6,0.8787096774193549,238.9322580645161,0,0.0,71088.0,50.064516129032256,3.825806451612903,112.21290322580644,4797.419354838709,167332.4516129032,7.120322580645161,5.728387096774194,10.793548387096775,61351.290322580644,14.346129032258066,4.021935483870967,12.230322580645161,30.598387096774193,2025-07
Andaman and Nicobar Islands,32.01935483870968,24730.7,1.1861290322580644,256.241935483871,0,0.0,66071.0,48.961290322580645,3.7096774193548385,104.76129032258065,4818.580645161291,167077.4193548387,7.160322580645161,5.661935483870968,10.819354838709677,59598.903225806454,15.467096774193548,4.037419354838709,12.220322580645162,31.72483870967742,2025-08
Andaman and Nicobar Islands,30.613333333333333,24250.4,1.0996666666666668,260.96,0,0.0,67832.0,51.92666666666666,3.796666666666667,111.99333333333334,5140.033333333334,167755.73333333334,7.041333333333333,5.894,10.496666666666666,61489.833333333336,15.631,3.9196666666666666,12.201333333333334,31.752000000000002,2025-09
Andaman and Nicobar Islands,27.483870967741936,8180.0,0.6593548387096775,17.82903225806452,0,0.0,252659.0,51.24516129032258,4.170967741935484,112.2,4809.290322580645,167914.32258064515,7.203225806451614,5.785161290322581,10.493548387096775,63099.51612903226,3.254516129032258,4.104516129032258,12.241935483870968,19.600967741935484,2025-10
